# Corrected LiDAR trajectory after extrinsic calibration
# timestamp x y theta_in_radians
7.710000 3.864771 -0.000721 -0.000133
7.720000 3.864112 -0.012262 -0.000204
7.730000 3.866621 -0.007499 -0.000079
7.740000 3.867652 -0.000717 -0.000249
7.750000 3.868643 -0.002654 -0.000135
7.760000 3.889406 -0.009484 -0.000030
7.770000 3.891920 -0.003217 -0.000053
7.780000 3.895625 -0.004841 -0.000142
7.790000 3.895346 -0.007192 -0.000190
7.800000 3.905172 -0.007596 -0.000057
7.810000 3.910907 -0.004251 -0.000174
7.820000 3.909806 -0.003174 -0.000178
7.830000 3.921543 0.001565 -0.000134
7.840000 3.924569 0.001094 -0.000168
7.850000 3.927420 -0.006874 0.000058
7.860000 3.935360 -0.003103 -0.000204
7.870000 3.939970 -0.002054 -0.000094
7.880000 3.946858 0.002834 -0.000206
7.890000 3.945700 -0.002201 -0.000064
7.900000 3.953277 -0.005621 -0.000144
7.910000 3.964269 -0.002945 -0.000145
7.920000 3.964816 -0.004148 -0.000199
7.930000 3.971607 -0.003317 -0.000150
7.940000 3.971569 -0.007954 -0.000168
7.950000 3.972558 -0.003398 -0.000253
7.960000 3.984304 -0.001922 -0.000005
7.970000 3.985521 0.000474 -0.000065
7.980000 3.996166 -0.003133 -0.000120
7.990000 4.006381 -0.001568 -0.000045
8.000000 4.002197 -0.002273 -0.000079
8.010000 4.012109 -0.008329 -0.000203
8.020000 4.004808 -0.003217 -0.000280
8.030000 4.020805 -0.007998 -0.000161
8.040000 4.021916 -0.001911 -0.000155
8.050000 4.021257 -0.006520 -0.000241
8.060000 4.038654 0.004200 -0.000044
8.070000 4.038987 0.001123 0.000016
8.080000 4.041775 0.001182 -0.000166
8.090000 4.050196 -0.006404 -0.000249
8.100000 4.055577 -0.007994 -0.000098
8.110000 4.061695 -0.000434 -0.000067
8.120000 4.063693 -0.006060 -0.000140
8.130000 4.074547 -0.003686 -0.000132
8.140000 4.070308 -0.001399 0.000087
8.150000 4.081826 0.000113 -0.000218
8.160000 4.088301 -0.006161 -0.000075
8.170000 4.090774 0.000480 -0.000164
8.180000 4.088162 0.004053 -0.000062
8.190000 4.096774 0.002026 -0.000261
8.200000 4.108009 -0.003910 -0.000197
8.210000 4.097661 -0.009467 -0.000153
8.220000 4.114145 -0.004128 -0.000107
8.230000 4.122793 0.001894 -0.000339
8.240000 4.115782 -0.002238 -0.000026
8.250000 4.130201 -0.005059 0.000003
8.260000 4.134469 0.002615 -0.000192
8.270000 4.133792 0.002003 -0.000212
8.280000 4.144429 -0.006503 -0.000304
8.290000 4.146137 -0.000690 -0.000153
8.300000 4.155147 -0.005015 -0.000061
8.310000 4.157775 -0.000660 -0.000185
8.320000 4.159707 -0.005532 -0.000141
8.330000 4.174636 -0.002844 -0.000232
8.340000 4.172247 -0.005841 -0.000233
8.350000 4.182542 -0.002707 -0.000051
8.360000 4.181380 -0.000569 -0.000301
8.370000 4.178974 -0.008661 -0.000236
8.380000 4.200662 0.002225 -0.000057
8.390000 4.203272 -0.006249 -0.000303
8.400000 4.204691 -0.006295 -0.000034
8.410000 4.206636 -0.002297 -0.000015
8.420000 4.216430 0.000386 -0.000136
8.430000 4.217046 -0.003434 -0.000118
8.440000 4.232196 -0.006064 -0.000141
8.450000 4.235842 -0.001385 -0.000258
8.460000 4.235000 -0.002586 -0.000223
8.470000 4.234098 0.000393 0.000019
8.480000 4.245146 -0.000338 -0.000139
8.490000 4.247498 0.000185 0.000034
8.500000 4.256224 -0.003300 0.000070
8.510000 4.255424 -0.003504 -0.000027
8.520000 4.261106 0.003508 -0.000152
8.530000 4.268263 -0.004769 -0.000145
8.540000 4.277275 0.000126 -0.000176
8.550000 4.286071 -0.006711 0.000041
8.560000 4.280709 0.000165 -0.000061
8.570000 4.291978 0.000697 -0.000307
8.580000 4.291770 -0.002756 0.000048
8.590000 4.298689 0.000414 -0.000199
8.600000 4.309374 -0.005170 -0.000134
8.610000 4.304821 -0.006589 -0.000211
8.620000 4.313128 -0.002637 -0.000113
8.630000 4.319020 -0.007137 -0.000061
8.640000 4.322980 0.001450 -0.000199
8.650000 4.328565 -0.005323 -0.000065
8.660000 4.337967 -0.005871 -0.000100
8.670000 4.343077 0.002757 0.000002
8.680000 4.331870 -0.003419 -0.000072
8.690000 4.350194 -0.007556 -0.000176
8.700000 4.350682 0.000471 -0.000194
8.710000 4.361643 -0.006091 -0.000117
8.720000 4.369149 -0.007482 -0.000011
8.730000 4.367602 -0.002086 -0.000185
8.740000 4.374979 -0.000776 -0.000073
8.750000 4.377487 -0.003512 -0.000087
8.760000 4.379031 -0.004205 -0.000207
8.770000 4.391880 -0.000840 -0.000148
8.780000 4.398435 -0.003667 -0.000113
8.790000 4.391776 -0.002760 -0.000326
8.800000 4.403258 0.001999 -0.000168
8.810000 4.409163 0.003981 -0.000138
8.820000 4.414910 -0.004706 -0.000116
8.830000 4.415590 -0.004259 -0.000106
8.840000 4.429781 -0.000657 -0.000077
8.850000 4.426310 0.003551 -0.000219
8.860000 4.440285 -0.002504 -0.000206
8.870000 4.435305 -0.004644 -0.000094
8.880000 4.439564 -0.001579 -0.000080
8.890000 4.446882 -0.005402 -0.000063
8.900000 4.453895 0.001284 -0.000005
8.910000 4.461389 -0.004966 -0.000104
8.920000 4.461676 -0.003535 0.000013
8.930000 4.469332 -0.004115 -0.000053
8.940000 4.468890 0.001473 -0.000256
8.950000 4.485600 0.000836 -0.000098
